pair_id,compound_A,compound_B,scaffold,exact_structural_modification,molecular_region,CB1_assay,CB1_result,CB2_assay,CB2_result,EC50_IC50_Emax_which,same_assay_lab,experimental_evidence,structural_evidence_crystal_cryo,related_mutagenesis,mechanism_proposed_by_authors,mechanism_inferred_later,primary_reference_DOI,phenotype_A_labels,phenotype_B_labels,class_A_B_C_D,verification_status,notes
Q1,Qiu-14,Qiu-15,pyrazole-3-carboxamide (rimonabant-like),N1-phenyl morpholine ortho to meta,N1-regio,"cAMP/HTRF antagonist assay (SI Fig.S5 for 14; S11 series)","PARAM: functional antagonism (14); IC50=NOT FOUND OA | 15: curve present S11; phenotype/IC50=NOT FOUND","cAMP/HTRF agonist (S5/S13) and antagonist (S12) panels","PARAM: functional agonism (14); EC50/Emax=NOT FOUND OA | 15: panels present; phenotype=NOT FOUND","which: EC50 and IC50 and Emax all NOT FOUND in OA SI/abstract",yes,yes,no,no,"Authors: N1-phenyl arm is a switch; ortho-morpholine gives Yin-Yang; meta/para collisions in docking (Fig.S6)","INFERRED: steric clash explains 15 loss of Yin-Yang — COMPUTATIONAL not experimental",10.1016/j.bioorg.2023.106377,"CB1 ant/inv; CB2 ago",ambiguous,C,verified_structures_partial_phenotype,"Comparator phenotype/potency paywalled or unreadable from curve OCR; do not use hypothesis numeric table"
Q2,Qiu-14,Qiu-16,pyrazole-3-carboxamide,N1-phenyl morpholine ortho to para,N1-regio,"cAMP/HTRF antagonist (S5/S11)","14: CB1 ant functional; IC50=NOT FOUND | 16: curve S11; phenotype=NOT FOUND","cAMP/HTRF ago/ant panels (S12/S13)","14: CB2 ago functional; EC50/Emax=NOT FOUND | 16: phenotype=NOT FOUND","which: EC50/IC50/Emax=NOT FOUND",yes,yes,no,no,"Docking Fig.S6 para-morpholine collisions (COMPUTATIONAL)","INFERRED SAR from docking",10.1016/j.bioorg.2023.106377,"CB1 ant/inv; CB2 ago",ambiguous,C,verified_structures_partial_phenotype,para isomer identity from Scheme S1 OCR
Q3,Qiu-14,Qiu-20,pyrazole-3-carboxamide,ortho-morpholinyl to ortho-4-methylpiperazinyl on N1-Ph,N1,"cAMP/HTRF antagonist","14: CB1 ant; IC50=NOT FOUND | 20: curve S11; phenotype=NOT FOUND","cAMP/HTRF ago/ant","14: CB2 ago; 20: phenotype=NOT FOUND","which: EC50/IC50/Emax=NOT FOUND",yes,yes,no,no,"Docking poses of 20 in CB1 Fig.S7 (COMPUTATIONAL)","INFERRED",10.1016/j.bioorg.2023.106377,"CB1 ant/inv; CB2 ago",ambiguous,C,verified_structures_partial_phenotype,single-region N1 heteroatom swap
Q4,Qiu-14,Qiu-24,pyrazole-3-carboxamide,C3 amide 1-adamantyl to CH2-1-adamantyl (keep o-morph),C3,"cAMP/HTRF antagonist","14: CB1 ant; 24: curve S11; phenotype=NOT FOUND","cAMP/HTRF ago/ant","14: CB2 ago; 24: phenotype=NOT FOUND","which: EC50/IC50/Emax=NOT FOUND",yes,yes,no,no,"Series explores Ad homologs; no experimental steric-clash proof for 24 in OA SI","REJECT as fact: steric clash for 24 (hypothesis-only); INFERRED if claimed",10.1016/j.bioorg.2023.106377,"CB1 ant/inv; CB2 ago",ambiguous,C,verified_structures_partial_phenotype,C3 change not N1; hypothesis table claims rejected
Q5,Qiu-15,Qiu-16,pyrazole-3-carboxamide,meta-morpholine to para-morpholine,N1-regio,"cAMP/HTRF antagonist S11","both curves; phenotypes=NOT FOUND","cAMP panels S12/S13","phenotypes=NOT FOUND","which: NOT FOUND",yes,yes,no,no,"Docking collisions meta/para (COMPUTATIONAL)","INFERRED",10.1016/j.bioorg.2023.106377,ambiguous,ambiguous,C,structures_verified_phenotypes_NF,weak pair without open phenotypes
Q0,Qiu-14,Qiu-14_anchor,pyrazole-3-carboxamide,n/a (single-compound Yin-Yang anchor),N1,"cAMP/HTRF antagonist SI Fig.S5B (ctrl rimonabant)","PARAM: functional CB1 antagonism; IC50=NOT FOUND OA; Emax=NOT FOUND","cAMP/HTRF agonist SI Fig.S5A (ctrl CP55940)","PARAM: functional CB2 agonism; EC50=NOT FOUND; Emax=NOT FOUND","which: EC50/IC50/Emax=NOT FOUND (direction only)",yes,yes,no,no,"Ortho-morpholine Yin-Yang; H-bond S173/S285 from docking/MD (COMPUTATIONAL)","INFERRED mechanism residues without mutagenesis of 14",10.1016/j.bioorg.2023.106377,"CB1 ant/inv; CB2 ago","CB1 ant/inv; CB2 ago",B,verified_functional_direction_numbers_NF,"n=3 independent x triplicate; binding Ki NOT FOUND OA"
J1,pyrrole-5b,URB447,pyrrole (URB series),introduce N1-p-chlorobenzyl (5b lacks N1-pClBn),N1,"rat cerebellar [3H]WIN displacement + GTPγS","5b: inactive (authors); URB447: PARAM IC50=313±72 nM (rat CB1 binding); GTPγS antagonism EC50=4.9±0.8 µM; neutral ant (no basal GTPγS inhibition)","hCB2 CHO binding + mouse CB2 HEK cAMP","URB447: PARAM IC50=41±23 nM (hCB2 binding); cAMP reduction vs isoproterenol at 1 µM (ago)","which: IC50 (binding) AND EC50 (GTPγS) AND cAMP qualitative (not EC50)",yes,yes,no,no,"First mixed CB1 antagonist / CB2 agonist; 4-NH2 enables dual affinity; peripheral restriction","Janus concept established 2009 — INFERRED as precedent for Qiu design",10.1016/j.bmcl.2008.12.059,"inactive","CB1 ant/inv; CB2 ago",B,verified,"Do not convert binding IC50 into efficacy; functional arms separately evidenced"
J2,pyrrole-8a,URB447,pyrrole,introduce 4-amino on 3-benzoyl scaffold,other,"rat CB1 binding","8a: weak/limited (authors narrative); URB447 IC50=313±72 nM","hCB2 binding","URB447 IC50=41±23 nM; 8a described as weak CB2 ligand","which: IC50 binding; functional dual for 8a=NOT FOUND",yes,yes (binding),no,no,"Polar amino at position 4 favorable at both sites","INFERRED: 4-NH2 is Janus enabler — functional pair incomplete for 8a",10.1016/j.bmcl.2008.12.059,ambiguous,"CB1 ant/inv; CB2 ago",C,verified_binding_partial_func,"Prefer J1 for functional Janus emergence"
J3,GW405833_historical_CB2_ago_label,GW405833_Janus_reanalysis,aminoalkylindole/indole,n/a (phenotype reanalysis not a single-region SAR pair),other,"HEK CB1: adenylyl cyclase; ERK1/2; PIP2; internalization; arrestin (JPET 2017)","PARAM: noncompetitive CB1 antagonism across pathways; arrestin time-dependent (ambiguous)","hCB2 radioligand binding + historical ago assays (Valenzano 2005)","PARAM: CB2 agonist (partial/protean literature); Ki=3.92±1.58 nM hCB2","which: Ki (binding) labeled; CB1 ant = functional noncomp.; vendor EC50s secondary",no,yes,no,no,"Originally selective CB2 agonist tool","INFERRED Janus from multi-assay CB1 block + CB2 ago legacy",10.1124/jpet.116.236539,"CB2 ago (historical)","CB1 ant/inv; CB2 ago",B,verified_multi_lab,"Valenzano Ki CB1=4772±1676 nM; in vivo antiallodynia may be CB1-dependent (contradiction translational)"
J4,AM1710_historical_CB2_ago,AM1710_Janus_reanalysis,cannabilactone,n/a,other,"CB1 signaling panel JPET 2017","PARAM: low-potency competitive CB1 antagonist/inverse agonist; arrestin low-efficacy agonist (ambiguous on arrestin)","hCB2 binding + cAMP","PARAM: CB2 agonist; Ki=6.7 nM; cAMP EC50=11 nM; Emax=48%","which: Ki AND EC50 AND Emax labeled",no,yes,no,no,"CB2-selective tool historically","INFERRED Janus complex signaling",10.1021/jm070441u;10.1124/jpet.116.236539,"CB2 ago","CB1 ant/inv; CB2 ago",B,verified,"Rat CB1 Ki=360 nM (Khanolkar 2007)"
