name,common_name,category,smiles,role,cb1_profile,cb2_profile,fibrosis_notes,key_ref,doi_or_url,confidence,notes
delta9-THCV,THCV,propyl_varin_neutral,CCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,seed,"Antagonista / modulador negativo en muchos ensayos in vitro y a dosis bajas in vivo; a dosis altas puede actuar como agonista (flip bifasico). Perfil tejido- y ligando-dependiente.","Agonista parcial en varios ensayos in vitro; algunos reportes conflictivos segun ensayo.","Sin datos robustos en FPI/bleomicina como Janus limpio. PoC natural del perfil deseado a baja dosis; el flip CB1 impide tratarlo como farmaco listo.","Pertwee 2008; Pertwee 2007; McPartland 2015",https://doi.org/10.1038/sj.bjp.0707442,high,"PubChem CID 93147. Prototipo Janus imperfecto. Semilla de optimizacion THCV-like."
THCVA,THCVA,propyl_acid,CCCC1=CC2=C([C@@H]3C=C(CC[C@H]3C(O2)(C)C)C)C(=C1C(=O)O)O,interesting,"Poco caracterizado en ensayos funcionales CB1 modernos frente a THCV neutro.","Poco caracterizado.","Interes principal: polaridad / hipotesis de menor penetracion SNC / sesgo periferico; decarboxilacion regenera THCV (y su flip). No ancla FPI.","Inventario acidos fitocannabinoides; ver quimioma",https://pubchem.ncbi.nlm.nih.gov/compound/59444416,medium,"PubChem CID 59444416. Role interesting (periferia / prodrug), no PoC Janus demostrado."
CBDV,CBDV,propyl_varin_neutral,CCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,secondary,"Baja afinidad ortosterica tipica; no es antagonista CB1 limpio tipo THCV. Efectos a menudo independientes de CB1 (TRP; GPR55; etc.).","Afinidad baja-moderada segun fuente; no agonista CB2 canonico potente. Evidencia limitada para perfil Janus.","Interes antiinflamatorio / neuroinflamatorio en literatura; mecanismos no CB1/CB2-dominantes. Sin ancla FPI via Janus.","Walsh 2021; Rosenthaler et al.",https://doi.org/10.3389/fphar.2021.777804,high,"PubChem CID 11601669. Scaffold varin util; secundaria respecto al norte Janus."
CBD,CBD,major_control,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,control,"Baja afinidad; antagonismo funcional / modulacion negativa de agonistas en algunos tejidos; polifarmacologia alta.","No es agonista CB2 canonico puro; interacciones complejas.","Efectos antifibroticos reportados en ciertos modelos; atribucion mecanistica ambigua (no prueba el perfil Janus).","Pertwee 2008; McPartland 2015",https://doi.org/10.1038/sj.bjp.0707442,high,"PubChem CID 644019. Control de region quimica / polifarmacologia; no dogma de hit."
delta9-THC,THC,major_control,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,anti_seed,"Agonista parcial CB1 (psicoactivo).","Agonista parcial CB2.","Irrelevante como candidato Janus; control positivo de agonismo CB1.","Pertwee 2008",https://doi.org/10.1038/sj.bjp.0707442,high,"PubChem CID 16078. Anti-semilla estructural y farmacologica frente al norte CB1-ant."
CBG,CBG,minor_control,CCCCCC1=CC(=C(C(=C1)O)C/C=C(\C)/CCC=C(C)C)O,control,"Afinidad baja-micromolar; efectos parciales / inciertos en CB1.","Agonista parcial debil en varios ensayos; sesgo CB2>CB1 en parte de la literatura.","Antiinflamatorio en modelos diversos; no perfil Janus limpio. Evidencia FPI via CB1-ant/CB2-ago limitada.","Navarro 2018; Zagzoog 2020",https://doi.org/10.3389/fphar.2018.00632,high,"PubChem CID 5315659. Control de parcial agonismo CB2 debil / no Janus limpio."
CBN,CBN,minor_oxidized,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,control,"Agonista parcial debil CB1 (menos potente que THC).","Agonista parcial debil CB2.","No Janus; control de agonismo debil dual.","Rosenthaler et al.; Walsh 2021",https://pubmed.ncbi.nlm.nih.gov/25311884/,high,"PubChem CID 2543. Control / anti-semilla suave."
CBC,CBC,minor_control,CCCCCC1=CC(=C2C=CC(OC2=C1)(C)CCC=C(C)C)O,control,"Actividad CB1 debil / parcial en algunos ensayos; a menudo efectos via TRP.","Agonista parcial con cierto sesgo CB2 en literatura reciente; evidencia heterogenea.","Poco anclado a FPI Janus.","Zagzoog 2020; Walsh 2021",https://doi.org/10.1038/s41598-020-77175-y,medium,"PubChem CID 30219. Control de minor; no priorizar como Janus."
delta9-THCP,THCP,minor_long_chain,CCCCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)C)O,anti_seed,"Agonista CB1 de alta afinidad reportada (cadena C7); direccion opuesta al norte Janus.","Agonismo CB2 tambien reportado; no limpia el problema CB1.","No priorizar. Control estructural: alargar cadena hacia mas THC empeora el perfil deseado.","Citti et al. 2019",https://doi.org/10.1038/s41598-019-56785-1,high,"PubChem CID 6453074. Anti-semilla SAR de cadena; radar de minors, no hit."
CBD-C4,CBDB / cannabidibutol,minor_C4,CCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,interesting,"Poco caracterizado de forma sistematica vs CBD/CBDV en binding/funcion dual.","Poco caracterizado.","Placeholder SAR de cadena C3-C5; no asignar perfil Janus sin datos.","Citti et al. 2019 (impureza CBD / CBDB)",https://doi.org/10.1016/j.jpba.2019.06.049,medium,"PubChem CID 59444413. Ambiguo / interesante para SAR de cadena; no priorizar."
